Id,Employer,Jobtitle,Startdate,Enddate,Salary,Location,Experience,Specialization,description,no
100,NYSC,"State President, National Association of Catholic Corpers NACC Plateau State",Jun-2010,Jul-2011,0,NULL,1,Management,"NACC is the body responsible for the welfare and well being of all Catholic Corpers posted to plateau state.within the period of my reign as the state president,with the help of my executives,I was able to carry out programs and projects that affected both the lives of corpers and the members of our host community.my proactive leadership earned me an award of recognition by NYSC state coordinator and an award of merit by NACC.there are many other developmental impart that was made that I may not be able to state.",2822
105,Department of water affairs,Accounts intern,Jan-2011,Feb-2011,0,NULL,0,Finance,"Maintenanceof votes ledger, preparing payments to suppliers, ensuring proper and timely payment of refunds, leave travel concession, gratutities and advance",512
106,"Ministry of Water Resources Development Asaba, Delta State",Field Technician/Supervisor (NYSC),Jul-2010,Jun-2011,10,NULL,1,Site Engineering,"Supervision of drilling and development of Borehole
Equipping of Borehole
Collecting water sample for laboratory Analysis
Soil sampling and analysis
Operational functionality of water treatment plants
Attended to operational emergencies",439
107,Nigeria Airforce,Language instructor,Jul-2010,Jul-2011,20,NULL,1,Education,,6221
108,Guinness Nigeria Plc/Tequila Marketing,Supervisor Sales Promotions,Aug-2004,Jan-2005,0,NULL,1,Marketing,Increase Sale Volume.,1352
109,"NNPC,R&D division",trainee core lab and reserviour fluid analyst,Apr-2008,Jan-1935,10,NULL,-73,Oil & Gas,"â€¢	Constant Composition Expansion (CCE)
â€¢	Differential Liberation (DL)
â€¢	Gas Oil Ratio (GOR)
â€¢	Constant Volume Depletion (CVD)
â€¢	Flash Seperation and Measurement using PVTz and PVTpro softwares
â€¢	Seperator Test
â€¢	Gas Chromatography (GC) analysis on reservoir fluid samples using Agilent GC 6890 and Chemstation 32 software.
â€¢	Core slabbing using mansory saw
â€¢	Core plug drilling with the drill press
â€¢	Lithologic description of core samples
â€¢	Core gamma logging using spectral core gamma logger
â€¢	Solvent extraction using soxhlet/dean and stack equipment
â€¢	Core plug drying using a conventional oven or humidity oven in the case of some shale sands
â€¢	Bulk volume determination using mercury injection method,caliper method or Boyleâ€™s law
â€¢	Determination of grain density
â€¢	Sieve analysis
â€¢	Porosity and Permeability measurement using the helium porosimeter and the gas permeameter respectively.",4380
110,Fax Consult ltd,real estate manager,Sep-2010,Dec-2011,50,NULL,1,Real Estate,"Land information,Purchase,documentation of title documents,marketing and sales of buildings,agencies,feasibility and viability studies.",777
111,TOGO METAL ET BOIS,SELLING,Aug-2008,Aug-2008,10000,NULL,0,Advertising,CREAT AND SELL,196
112,Ethiopian Insurance Corporation,Junior Insurance Officer,Dec-2010,Jan-1935,2147,NULL,-75,Banking,,2181
113,"IBK Services Ltd, Kaduna",Office Assistant,Mar-2010,Apr-2011,50,NULL,1,Secreatry,"Prepare Contract Documents,
Assist in Debt Recovery           
Prepare reports and correspondence required by management.",6086
114,Independent National Electoral Commission (INEC),AdHoc Staff_Voters Registration,Jan-2011,Feb-2011,57,NULL,0,Secreatry,Register Eligible Voters (Manually and Electronically)For Election,6086
115,Independent National Electoral Commission (INEC),Presiding Officer_ Election,Apr-2011,Apr-2011,31,NULL,0,Secreatry,"Organize and issue ballot papers to eligible voters to vote, credibly and successfully",6086
116,,,Jan-1935,Jan-1935,0,NULL,0,Finance,,6196
117,NEIMETH INTERNATIONAL PHARMACEUTICALS,SALES REPRESENTATIVE,Dec-2011,March-2012,40,NULL,9,Marketing,"...PRIMARILY TO INCREASE SALES AND MANAGE CUSTOMER ACCOUNT VIA EFFICIENT CALL RATES, CLIENT SENSITIZATION AND BRAND DEMAND.",5978
118,AIKON ENGININERRING LTD,INSTRUMENT ENGINEER,Jul-2011,Feb-2012,0,NULL,1,Oil & Gas,"Instrument calibration
Instrument servicing and maintenance
Maintenance documentation.",4395
124,I & SP Limited,Accounting Office,Jan-2009,Jan-2012,45,NULL,3,Finance,,819
125,integrated Coating Services Ltd,Sales Representative,Feb-2011,Jan-1935,30,NULL,-76,Marketing,"Advertising,sales and marketing of industrial and domestic  protective coating paints n equipment",4227
126,Afribank Nig. plc,sales agent,Jun-2008,Jan-2009,180,NULL,1,Marketing,marketing,1887
130,Zenith bank int'l plc,operations,Jan-2009,Jan-2020,2,NULL,11,Banking,rendering excellent customer service to our esteem customers.,1887
129,Sasakawa Global 2000,Administrative Manager,Apr-2010,Dec-2011,0,NULL,1,HR,"Duties and Responsibilities
â€¢	Ensure that recruitment of employees is done in accordance with Sasakawa Africa Association personnel policy.
â€¢	Maintain personal files all communication concerning the employee.
â€¢	Ensure that employeeâ€™s benefits are in line with Sasakawa Global 2000 benefits package.
â€¢	Ensure that labor proclamations provisions of Ethiopia are adhered to fully
â€¢	Ensure that the annual budget of Sasakawa Global/Ethiopia is utilized according to plan.
â€¢	Ensure that financial transactions of the organization are recorded regularly.
â€¢	Ensure that utilities are available to the organization 
â€¢	Ensure that all fixed assets of the company are protected from theft and damage and are always in good conditions.",5153
131,Woinu Curtain Trade Plc,Human Resources  Manager,Mar-2006,Mar-2010,0,NULL,4,HR,"Duties and Responsibilities:
â€¢Formulate and implement the action plan for the Human Resource department in line with the overall Company's business plans. 
â€¢Contribute to the development, review and maintenance of HR Policies and Procedures in line with Company strategy, business needs and legislation. 
â€¢Manage and supervise the general office administration. 
â€¢Supervise, direct and draft job descriptions for new established positions or jobs undergoing major changes in their job-content. Summarize and prepare job profiles and requirements for recruitment. 
â€¢Ensure that all the HR records including personnel records for all the employees are kept updated i.e. promotions, new recruits etc. 
â€¢Analyze HR & Administration Departmentâ€™s functions as well as support other functions to identify opportunities and areas that need to be reorganized, down-sized or eliminated. 
â€¢Recruit, evaluate, motivate and develop reporting staff to ensure that the division has necessary skill base and that the staff are optimally motivated to perform above expectations. 
â€¢Monitor performance of direct reports and guide them in managing their performance by providing appropriate feedback to ensure development and implementation of training & development plan. 
â€¢Ensure that all regulatory & statutory requirements are fulfilled on time",5153
132,zaur forex bureau limited,accountant and IT manager,Jun-2010,Jan-2012,50,NULL,2,Finance,,3927
133,zaur forex bureau limited,accountant and IT manager,Jun-2010,Jan-2012,50,NULL,2,Finance,,3927
136,Lion International Bank S.C,Senior Database Administrator,Apr-2009,May-2009,5000,NULL,0,IT-Hardware,"1.	Administering and maintaining the bankâ€™s ORACLE Server DBMS.  Installing and upgrading the DBMS as needed. Monitoring and optimizing the DBMS. Perform backup and recovery of all DBMS databases.  Managing database users.  Taking appropriate measures to ensure the security of the DBMS data.  Performing all system maintenance for the DBMS. Installing and supporting primary client programs connecting to the DBMS.  Providing technical assistance to bankâ€™s staff using the DBMS.  Recommending hardware upgrades to the database server as needed.
2.	Developing policies to ensure the security and confidentiality of the Health Policy bankâ€™s identifiable health data. 
3.	Design and develop database applications in response to clientsâ€™ information needs, using Oracle PL/SQL. Provides ongoing maintenance and support to users of database applications.
4.	Internal report design and development based on the installed core banking software using Oracle PL/SQL and Crystal report generator XI.
5.	Assisting in the management of the bankâ€™s hardware and software as related to the operations of the ORACLE Server DBMS, including system development and maintenance, recommending purchase of new hardware and software maintenance of records and reports relating to database operations, data/project archives, and disk maintenance.
6.	Creating analytic files from the Oracle database",2823
139,Lenz Data Analysts,Research Assistant,May-2011,Feb-2012,0,NULL,1,NGO,"Market and social research support services such as concept development, data collection, data analysis, report writing.",6133
142,Elite Research Consulting Limited,Research Assistant,Mar-2009,Apr-2011,0,NULL,2,NGO,"Market and social research support services such as concept development, data collection, data analysis, report writing.",6133
143,FCMB,Marketer,Oct-2010,Nov-2011,500,NULL,1,Marketing,"Acquisition of fresh funds
Brokering of loans
Customer relationship management",1195
166,zenithbankplc,marketer,Jan-2008,Jan-2009,35,NULL,1,Banking,introducing and managing customers,5806
167,"ZENITH BANK PLC ,InfoTech Software ( E-business Dept ,   (e-salary payroll unit )",E-payroll Officer,Jun-2008,Feb-2011,720,NULL,3,Banking,"Job Description:
The implementation and management of the e-payroll automated online salary payment of the following states government civil servants. (Rivers and Kebbi State).

Job Responsibilities:
* Converted existing manual-payroll worksheet system to full automated on-line computerized e-payroll payment system of over 75,000 staff . 
* Responsible for ensuring the monthly e-payroll process is run effectively and timely as per-defined time tables.
* Support the implementation of the different staff compensation and benefit adjustment status :-promotion, increment, upgrade, salary arrears and short-payment.
* Provide timely response to all queries escalated from the different Mda (s), financial institutions and external vendors.
* Perform due diligence in order to identify concerns with ongoing monthly e-payroll administration.",5907
168,Unilever Noigeria,Change Manager,Jan-2011,Jun-2012,3.8,NULL,1,HR,"â€¢	Apply structured Change Management approach and methodology to the business transformation project for Central Africa (WA/ESA).
â€¢	Develop and implement Change Management strategy based on situational awareness of the details of change and various impacted group by the change.
â€¢	Identify potential people side risks and anticipate points of resistance and develop approaches and plans to mitigate and address all concerns.
â€¢	Conduct Change impact assessment, readiness assessments, analyse results and present findings in a logical and easy to understand manner.
â€¢	Develop and track a set of actionable targeted Change Management plans â€“ to include communications plan, stakeholder management plan, training plan, coaching plan to manage all processes, systems and people during the change project.
â€¢	Recruitment of Training Coordinators and Process Experts across Tracks
â€¢	Deliver 217 End User Training sessions within two sites  in line with Project timelines
â€¢	Ensure the team to be turbo charged by the new performance culture. Immediate Manager Effectiveness to improve to deliver Project OTIF. PDP Cycle fully completed on schedule.
â€¢	Develop and implement Go-Live Communication Plan.
â€¢	Support the execution of plans by employee and managers with the business engagements
â€¢	Create and manage measurement systems to track adoption, utilization and proficiency of individual changes.
â€¢	Indentify resistance and performance gaps, and work to develop and implement corrective actions.
â€¢	Create an enabling reinforcement mechanism and celebrate success.
â€¢	Create and manage all training data.
â€¢	Engage Key users on their roles and responsibilities post go-live
â€¢	Conduct Leadership alignment workshops and implement action plans
â€¢	Work with the communications team to actualize the communications plan within the entire phase of the project so as to sustain the right behavior to land the change.
â€¢	Work with the project team to integrate change management activities into the overall project plan during specific activities from the pre-deployment stage till end of intensive care period.
â€¢	Work with the HR Business Partners team to implement Organisation Alignment as a result of changes in roles, creation of new role and responsibilities for future date to support the new system.
â€¢	Work with all CPLs on developing Change Impact Assessment, Integrated Testing plan and scripts, User Acceptance testing script, scope and timing, End User Training and  Business Simulation steps, scenarios and timings.
â€¢	Build capabilities vis-Ã -vis business process and the new ways of working with all stakeholders.
â€¢	Drive and implement all Performance Management Culture within the system.
â€¢	Handle all 3rd party contractors
â€¢	Handle all Industrial Relations matters ( i.e. liaise with Labor Unions on how best possible we will gradually introduce the change within the system)



CIA Execution across Tracks
â€¢	Responsible for formulating an action plan to close required actions across tracks on a monthly basis.
TTT, ITC, UAT & EUT Execution
â€¢	Responsible for adapting a holistic training schedule to ensure strict compliance to training and quality ensuring seasoned trainer emerging from each session
Project Management execution
â€¢	Responsible for ensuring timeline for each project phase is adhered to and also ensuring all gate criteria for each phase were met accordingly with critical show stoppers identified and executed as planned
â€¢	Ensure all people welfare was well managed with locals and expatriates. 

Key Achievements:
â€¢	Achieved required Change Management deliverables quarterly on the cumulative on tine and in full.
â€¢	Closed required actions to mitigate against identified risks within the Business through focus group sessions
â€¢	Achieved buy-in of all respective stakeholders within and outside of the business to embrace the change
â€¢	Successfully implemented a stakeholder management plan ensuring the Leadership team is constantly carried along within each phase of the project.
â€¢	Achieved success in running the TTT sessions within the strict time frame.
â€¢	Constantly received commendations from the Business
â€¢	All gate criteria are being met and deliverable for each phase of implementation achieved
â€¢	Achieved success in People Management (ability to build a formidable team in order to achieve required targets with the team still intact).
â€¢	Achieved high level capability development within the team and in the Business.
â€¢	Achieved a high level of knowledge retention within the system.",559
138,Lion International Bank S.C,System Developer and Network Administrator,Jan-2007,Apr-2009,3500,NULL,2,IT-Hardware,"1.  Establishes network layout and design 
2. Supervise network status and overall activities of the under gone system 
3. Ensures that daily back up is always taken from the servers. 
4. Monitoring the status of the corporate LAN and WAN and making correctives
5. Cisco configuration and troubleshooting 
6. Modifying/maintaining the intranet along with the SharePoint in need of expansion
7. Cluster Administration and maintenance
8. Terminal server configuration and troubleshooting
9. SWIFT administrator and Left security officer",2823
145,Royal University college,lecturer,Oct-2008,Feb-2012,0,NULL,4,Management,i am  a talented and Dedicated  person to my job.,5974
146,Maevis Ltd,Support worker,Feb-2012,Nov-2012,25,NULL,0,IT-Hardware,,933
147,Al-Hijrah College,Web Master,Jan-2008,Nov-2011,1,NULL,3,IT-Software,web administrator and IT infrastructure management,2313
148,Kamakura Risk Management,Sr.Business Analyst,Oct-2011,Dec-2020,0,NULL,9,Banking,"-	Imparted KRM/KRIS Implementation of Credit Risk Management, Asset Liability Management, Fund Transfer Pricing (FTP), Operation Risk, Market Risk and Basel 11 implications in banks.
-	Entrusted with the responsibility of Sr. Business Analyst in one of the Asia Pacific region countries in its risk management tools in the areas of Market Risk, ALM, FTP, Enterprise Financial Planning and Basel II (Standard).
-	Associated with the development of Fund Transfer Pricing (FTP) and its first implementation in India.",838
152,Chinonso Electronics,Business Executive Officer,May-2009,Oct-2010,21,NULL,1,Marketing,Direct sales of electronics products,5839
151,Mama Jo Cold Room,Sales Personnel,Jun-2003,Jan-2005,17,NULL,2,Food,Sales of Fishes (cartons) in bulk,5839
153,Brano High School,Teacher,Oct-2011,Feb-2012,19,NULL,1,Education,Teaching,5839
154,Duro Soleye Hospitale,,Jan-1935,Jan-1935,0,NULL,0,Finance,,5337
155,Duro Soleye Hospitals,intern (microbiologist),Mar-2011,Aug-2011,5000,NULL,0,Medical,"â€¢	Receive patients in the medical laboratory unit.
â€¢	Carryout laboratory tests on patients.
â€¢	Documentation and release of patientâ€™s laboratory result.
â€¢	Assist fellow interns by explaining laboratory procedures to them.",5337
156,"Intercontinental Bank,Plc",Clearing/Funds Transfer Officer,May-2006,Dec-2010,4000000,NULL,4,Banking,"NACS/CLEARING OPERATIONS
ï‚§	Collection of instruments from the various banks in the Clearing house.
ï‚§	Review of all inward clearing cheques.
ï‚§	Processing and running of outward instruments on E-Sorter Machines (NCR)/NCOMPASS.
ï‚§	Processing and the running of inward instruments on E-Sorter Machines (NCR)/NCOMPASS.
ï‚§	Posting of inward cheques and drafts.
ï‚§	Posting of all outward return cheques.
ï‚§	Balancing of all accounts relating to the unit.
ï‚§	Representing the bank in the CBNâ€™s clearing house.
ï‚§	Reconciliations of all books of accounts.
CONFIRMATION
ï‚§	Account reconciliation/ signature verification and cheque confirmation.
ï‚§	Activity report on stated procedure and coordination of operational activities.
ï‚§	Liaising with branches on problem cheques and other related issues.
ï‚§	Return and Posting of all return cheques.
ï‚§	Deposit Mobilization.
ï‚§	Marketing of all bankâ€™s product and services.
CHEQUE REVIEW
ï‚§	Ensure that no wrong transaction passed without detecting through proper call over.
ï‚§	Investigating all failed entries.
ï‚§	Monitoring the postings of NEFT/RTGS.
ï‚§	Generate departmental report for management decision.
ï‚§	Checking of all cheques and other instruments under UV light to confirm the authenticity.
ï‚§	Attending to other issues as may be directed by Head, Central Clearing.
FUND TRANSFER / CLEARING OPERATIONS
ï‚§	Issuance of managerâ€™s cheque.
ï‚§	Booking of loans and overdrafts.
ï‚§	Handling of branch clearing operations.
ï‚§	In â€“ house account transfer, requiring confirmation.
ï‚§	Receiving / posting of other banks instruments.
ï‚§	Receiving third party instruments, not requiring confirmation.
INTERNAL CONTROL OFFICER
ï‚§	Calling over of all daily transactions.
ï‚§	Safeguarding the companyâ€™s asset.
ï‚§	Vetting all branch petty expenses.
ï‚§	Checking all accounts maintained by the department to ensure correctness and genuineness of transactions.",4283
158,frontliners college,"Head, curriculum development",Sep-2007,Jan-1935,0,NULL,-72,Education,,2016
159,National Cement Share Company,Process Engineer,Nov-2009,Mar-2012,3678,NULL,3,Engineering,I have been working at national cement share company for over two and half years. currently i am working as a shift leader and responsible for all the process follow up and co-ordination within all the sections of the plant. i am also involved in process modification and plant audit jobs.,709
160,Horpstech Engineering and Farm Services Limited.,Senior Supervisor,Oct-2008,Feb-2012,0,NULL,4,Engineering,Coordinating  all engineering and the farming activities in the poultry section.,4993
161,"Department of Policy and Implementation , Education Secretariat. Abuja",personal assistant and a rapatour in workshops,Apr-2009,Feb-2010,0,NULL,1,Secreatry,"personal assistant, call centre, front desk, organising and coordinating workshops",5743
162,Fidelity Bank Plc,Executive Assistant Trainning,Sep-2010,Jan-2012,165,NULL,2,Marketing,I'm a good marketer,2182
163,ESTABEL ENTERPRISE,MARKETER,Feb-2012,Mar-2012,40000,NULL,0,Advertising,I WAS IN CHARGE OF MARKETING GOOD AND SERVICES BOTH NEW AND PREVIOUSLY EXISTING ONES.I WAS ALSO RESPONSIBLE FOR CREATING EFFECTIVE AWARENESS FOR SUCH GOODS.,1050
164,ROMSON INTERNATIONAL,EXECUTIVE ASSISTANT AND EVENT MANAGER,Oct-2010,Mar-2011,40000,NULL,1,Advertising,"I WAS IN CHARGE OF ASSISTING  IN THE ADMINISTRATION OF THE DAY TO DAY ACTIVITY,MANAGEMENT OF FACILITY AND EQUIPMENT MANAGEMENT.",1050
165,portland paints and products nigeria plc,administrative officer,Oct-2010,Oct-2011,200,NULL,1,Food,General administrative duties/office assistant,2902
170,Equatorial Business Group,Parts Sales Engineer (till now on duty),Jun-2011,Feb-2012,4,NULL,1,Engineering,I am very much interested to work in any technological areas related to Mechanical Engineering,2732
173,Fidelity Bank Plc,Executive Assistant Trainning,Sep-2010,Jan-2012,165,NULL,2,Finance,I'm a good Marketer,3011
