Id,University,StartDate,EndDate,GPA,OutOf,Course,Courselevel,Classification,Specialization,projects,no
1043,University of Benin,Dec-2006,Dec-2011,3.82,5,Mechanical Engineering,B.Eng,Second class upper,Engineering,,2123
1051,university of Benin,Jan-2007,Nov-2011,4,5,Chemical Engineering,B.Eng,Second class upper,Oil &amp; Gas,,5080
1052,caritas university,Dec-2007,Jun-2012,2.5,5,computer engineering,B.Eng,Second class lower,IT-Hardware,,626
1077,RSUST,Sep-2000,Mar-2007,3.312,5,Mechanical Engineering,B.Eng,Second class lower,Engineering,,4208
1073,"federal university of technology, akure, ondo state.",Mar-2001,Jul-2006,3.39,5,metallurgical and material engineering,B.Eng,Second class lower,Site Engineering,,2106
1078,RSUST,Sep-2000,Apr-2007,3.312,5,Mechanical Engineering,B.Eng,Second class lower,Engineering,,4208
1084,University of Benin,Jan-2008,Nov-2011,4.1,5,Mechanical Engineering,B.Eng,Second class upper,Engineering,,2727
1089,AHMADU BELLO UNIVERSITY,Apr-2009,Sep-2014,3.64,5,ELECTRICAL ENGINEERING,B.Eng,Second class upper,Engineering,,684
1095,Enugu State University of Science and Technology,Jan-2001,Dec-2005,3,5,Electrical and Electronic Engineering,B.Eng,Second class lower,IT-Hardware,,596
1111,"Caritas Univesity, Emene - ENUGU",Oct-2007,Sep-2012,3.19,5,Chemical Engineering,B.Eng,Second class lower,Engineering,,5911
1146,University Of Port Harcourt,Nov-2007,Nov-2012,4.26,5,Chemical Engineering,B.Eng,Second class upper,Engineering,,5159
1149,"Delta State University, Abraka",Jul-2007,Oct-2012,3.51,5,Elect/Elect & Computer Engineering,B.Eng,Second class upper,Engineering,,2929
1151,University Of Port Harcourt,Nov-2006,Nov-2012,3.01,5,Elecrical Electronics,B.Eng,Second class lower,Engineering,,269
1168,Enugu State University of Science and Technology,Nov-2007,Nov-2012,2.8,5,Electrical Electronics Engineering,B.Eng,Second class lower,Engineering,,4657
1180,Ambrose Ali University,Oct-2008,Oct-2012,3.38,5,Mechanical Engineering,B.Eng,Second class lower,Engineering,,571
1190,"Kwame Nkrumah University of Science and Technology, Ghana",Jan-2009,May-2013,3.06,4,Electronics and Telecommunication enginnering,B.Eng,Second Class Lower,Engineering,,1732
1223,ESUT,Jan-2007,Dec-2012,3.78,5,Elect/Elect & Computer Engineering,B.Eng,Second class upper,Engineering,,3138
1241,"Anambra State University, Uli",Aug-2007,Nov-2012,3.44,5,Electrical Electronics Engineering,B.Eng,Second class lower,Engineering,,3840
1242,University of Port Harcourt,Jan-2006,Sep-2011,2.62,5,chemical Engineering,B.Eng,Second class lower,Engineering,,2482
1253,University of Port Harcourt,Jan-2008,Nov-2012,4.24,5,Petroleum Engineering,B.Eng,Second class upper,Engineering,,3038
1256,Enugu state University,Sep-2007,Nov-2012,2.78,5,Electrical/Electronics Engineering,B.Eng,Second class lower,Engineering,,5441
1261,"Cross Rivers State University Of Technology, calabar",Jul-2008,Oct-2012,3.2,5,Civil Engineering,B.Eng,Second class lower,Engineering,,3856
1264,"Federal University of Technology, Yola",Nov-2008,Dec-2012,3.67,5,Chemical Engineering,B.Eng,Second class upper,Engineering,,2647
1272,"Federal university of Technology, Owerri",Sep-2007,Sep-2012,3.89,5,Environmental Engineering,B.Eng,Second class upper,Engineering,,1058
1301,"Enugu State University of Science and Technology, Enugu State",Jan-2007,Dec-2012,2.69,5,Metallurgical/Materials Engineering,B.Eng,Second class lower,Engineering,,1235
1343,"Federal University of Technology, Owerri",Oct-2007,Nov-2012,3.52,5,Environmental Technology,B.Eng,Second class lower,Engineering,,3907
1348,Rivers State University of Science and Technology,Oct-2006,Nov-2012,2.91,5,Mechanical Engineering,B.Eng,Second class lower,Engineering,,3205
1350,Cross State University of Technology,Aug-2007,Sep-2012,2.1,5,Mechanical Engineering,B.Eng,Second class lower,Engineering,,3950
1380,Enugu State University Of Science And Technology,Jan-2007,Sep-2012,2.2,5,Agric & Bio-resource Engineering,B.Eng,Second class lower,Engineering,,4093
1387,Enugu State University Of Science And Technology,Jan-2008,Nov-2012,2.89,5,Chemical Engineering,B.Eng,Second class lower,Oil &amp; Gas,,1240
1394,Ambrose Ali University,Jan-2007,Nov-2012,3.1,5,Elect/Elect,B.Eng,Second class lower,Engineering,,5448
1408,Federal Polythenic Nasarawa,Jan-2004,Nov-2013,2.4,4,Elect/Elect,B.Eng,Second class lower,Engineering,,5537
1426,Enugu State University,Oct-2006,Dec-2011,2.89,5,Mechanical Engineering,B.Eng,Second class lower,Engineering,,5836
1430,"Federal University of Technology, Owerri",Dec-2007,Oct-1935,3.06,5,Civil Engineering,B.Eng,Second class lower,Engineering,,1945
1435,"Federal University of Technology,Owerri",Nov-2006,Nov-2011,3.24,5,Polymer & Textile Engineering,B.Eng,Second class lower,Engineering,,1201
1465,Enugu State University Of Science And Technology,Jan-2007,Nov-2012,2.2,5,Metallurgical & Material Engineering,B.Eng,Second class lower,Engineering,,5928
1476,"Federal University of Technology, Owerri",Sep-2007,Nov-2012,3.46,5,Civil Engineering,B.Eng,First class,Engineering,,4460
1488,Enugu State University of Technology,Nov-2007,Aug-2012,2.89,5,Metallurgical & Material Engineering,B.Eng,Second class lower,Engineering,,3808
1491,Enugu State University Of Science And Technology,Jan-2008,Nov-2012,3.22,5,Mechanical/Production Engineering,B.Eng,Second class lower,Engineering,,470
1499,"Federal University of Technology, Yola",Sep-2009,Nov-2013,4.08,5,Chemical Engineering,B.Eng,Second class upper,Engineering,,560
1509,Enugu State University Of Science And Technology,Sep-2007,Nov-2012,2.45,5,Mechanical/Production Engineering,B.Eng,Second class lower,Engineering,,3617
1510,Enugu state University,Jul-2007,Nov-2012,3.1,5,Civil Engineering,B.Eng,Second class lower,Engineering,,3030
1522,Enugu State University of Technology,Sep-2007,Nov-2012,2.78,5,Electrical and Electronics Engineering,B.Eng,Second class lower,Engineering,,4216
1523,University Of Port Harcourt,Sep-2007,Nov-2013,2.75,5,Chemical Engineering,B.Eng,Second class lower,Engineering,,1650
1524,Olabisi Onabanjo University,Sep-2006,Nov-2013,2.9,5,Electrical and Electronics Engineering,B.Eng,Second class lower,Engineering,,2299
1536,Nnamdi Azikwe University ,Sep-2007,Nov-2012,2.85,5,Industrial Production Engineering ,B.Eng,Second class lower,Engineering,,720
1565,UNIVERSITY OF ILORIN,Mar-2003,Sep-2007,3.81,5,MECHANICAL ENGINEERING,B.Eng,Second class upper,Engineering,,1592
1567,Federal Polythenic Nekede Owerri,Sep-2006,Nov-2012,2.67,5,Metallurgical/Materials Engineering,B.Eng,Second class lower,Engineering,,208
1574,Federal University of Technology Akure,Sep-2007,Nov-2012,2.4,5,Metallurgical and Materials Engineering,B.Eng,Second class lower,Engineering,,2777
1597,"Enugu State University of Science and Technology, Enugu",Sep-2007,Oct-2012,2.5,5,Metallurgical and Materials Engineering,B.Eng,Second class lower,Engineering,,5361
1633,Nnamdi Azikwe University,Nov-2007,Oct-2012,3.88,5,Civil Engineering,B.Eng,Second class upper,Engineering,,804
1650,"Cross River University of Technology, Calabar",Sep-2007,Nov-2012,2.5,5,Elect/Elect,B.Eng,Second class lower,Engineering,,5069
1722,"Federal University of Technology, Yola",May-2005,May-2012,2.6,5,Civil Engineering ,B.Eng,Second class lower,Engineering,,2959
1741,"Micheal Okpara University of Agriculture, Umudike",Jan-2007,Oct-2012,3.6,5,Computer Engineering,B.Eng,Second class upper,Engineering,,4630
1745,University of Port Harcourt,Sep-2006,Oct-2011,3.08,5,Petroleum Engineering,B.Eng,Second class lower,Engineering,,4115
1753,Modonna University,Mar-2007,Sep-2012,2.85,5,Elect/Elect,B.Eng,Second class lower,Engineering,,680
1765,"Enugu State University of Science and Technology, Enugu",Sep-2007,Nov-2012,3.57,5,Mechanical Engineering,B.Eng,Second class lower,Engineering,,3944
1774,Ekiti State University,Aug-2007,Sep-2012,2.14,5,Elect/Elect,B.Eng,Third class,Engineering,,4635
1778,"Enugu State University of Science and Technology, Enugu",Sep-2008,Nov-2012,4.03,5,Civil Engineering ,B.Eng,Second class upper,Engineering,,3542
1793,University of Port Harcourt,Dec-2007,Dec-2012,3.15,5,Elect/Elect,B.Eng,Second class lower,Engineering,,2425
1796,"Federal University of Technology, Yola",Nov-2007,Dec-2012,3.63,5,Elect/Elect,B.Eng,Second class upper,Engineering,,5656
1815,"Federal University of Technology, Owerri",Dec-2007,Nov-2012,4.27,5,Elect/Elect,B.Eng,Second class upper,Engineering,,5010
1825,Ambrose Ali University,Sep-2007,Nov-2012,3.61,5,Civil Engineering ,B.Eng,Second class upper,Engineering,,3070
1834,"Cross River University of Technology, Calabar",Jan-2005,Nov-2012,1.98,5,Civil Engineering ,B.Eng,Third class,Engineering,,4320
1868,University of Port Harcourt,Jul-2008,Dec-2012,3.3,5,Petroleum Engineering,B.Eng,Second class lower,Engineering,,5276
1873,Rivers State University of Science and Technology,Oct-2006,Nov-2012,3.79,5,Mechanical Engineering,B.Eng,Second class upper,Engineering,,4348
1878,"Nnamdi Azikiwe University, Akwa",Sep-2004,Nov-2012,2.03,5,Mechanical Engineering,B.Eng,Third class,Engineering,,520
1892,Rivers State University of Science and Technology,Sep-2006,Nov-2012,2.85,5,Chemical/Petro - Chemical Engineering,B.Eng,Second class lower,Engineering,,4916
1902,Micheal Okpara University of Agriculture Umudike,Sep-2007,Nov-2012,3.39,5,Mechanical Engineering,B.Eng,Second class lower,Engineering,,6200
1912,"Cross River University of Technology, Calabar",Jan-2007,Nov-2012,3.41,5,Mechanical Engineering,B.Eng,Second class upper,Engineering,,5351
1927,"Federal Polytechnic, Ede",Sep-2008,Nov-2012,2.72,4,Electronic and Telecommunication,B.Eng,Second class upper,Engineering,,4947
1944,Ekiti State University,Sep-2007,Nov-2012,3.9,5,Elect/Elect,B.Eng,Second class upper,Engineering,,1382
1989,University of Port Harcourt,Jan-2007,Dec-2011,2.72,5,Chemical Engineering,B.Eng,Second class lower,Engineering,,1479
1990,University of Port Harcourt,Oct-2007,Sep-2012,3.41,5,Petroleum Engineering,B.Eng,Second class lower,Engineering,,5242
2002,"University of Nigeria, Nsukka",Jun-2005,Feb-2011,3.2,5,Civil Engineering ,B.Eng,Second class lower,Engineering,,963
2005,University of Port Harcourt,Aug-2007,Nov-2012,2.85,5,Elect/Elect,B.Eng,Second class lower,Engineering,,2743
2027,"Nnamdi Azikiwe University, Awka",May-2004,Sep-2010,2,4.5,Production Technology (Phyics/Electronics),B.Eng,Third class,Maritime,,5629
2028,UNIVERSITY OF PORT-HARCOURT,Jan-2008,Feb-2013,2.5,5,ELECTRICAL ELECTRONICS ENGINEERING,B.Eng,Second class lower,Engineering,,2743
2064,unversity of portharcout,Dec-2006,Oct-2011,,,Petroleunm engineering,B.Eng,,Engineering,,4251
2083,University of Port Harcourt,Jan-2005,Oct-2010,,,Chemical Engineering,B.Eng,,Engineering,,1018
2085,"Federal University of Science & Technology, Owerri",Sep-2003,Nov-2008,,,Industrial Produce,B.Eng,,Engineering,,5090
2087,Cross River State University of Technology,Sep-2006,Oct-2011,,,Chemical Engineering,B.Eng,,Engineering,,5425
2103,university of portharcourt,Nov-2006,Nov-2011,,,Pet And Gas,B.Eng,Pet And Gas,Oil &amp; Gas,,2703
2104,university of portharcourt,Nov-1999,Nov-2004,,,Electrical Electronics,B.Eng,Electrical Electronics,Engineering,,5973
2131,University of Port Harcourt,Oct-2007,Sep-2012,,,Chemical Engineering,B.Eng,Chemical Engineering,Oil &amp; Gas,,1315
2148,University of Port Harcourt,Oct-2005,Dec-2010,,,Petroleum/gas Engineering,B.Eng,,Engineering,,1512
2150,University of Port Harcourt,Sep-2005,Dec-2010,,,Petroleum Engineering,B.Eng,,Engineering,,1901
2171,University of Port Harcourt,Aug-2006,Dec-2009,,,Petroleum Engineering,B.Eng,,Engineering,,3750
2173,Nnamdi Azikiwe University,Oct-2006,Jul-2011,,,Computer Engineering,B.Eng,,Engineering,,2166
2176,"Federal University Of Technology, Owerri",Aug-2003,Oct-2008,,,Mechanical Engineering,B.Eng,2nd Class Lower,Engineering,,806
2177,University Of Port Harcourt,Sep-1999,Jan-2005,,,Petroleum Engineering,B.Eng,,Engineering,,2414
2182,RIVER STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,Sep-2003,Nov-2008,,,Petroleum Engineering,B.Eng,Petroleum Engineering,Engineering,,6188
2205,University of Port Harcourt,Jul-2006,Dec-2011,,,Mechanical Engineering,B.Eng,,Engineering,,1929
2209,University of Port Harcourt,Sep-2004,Sep-2010,,,mechanical engineering,B.Eng,,Engineering,,431
2217,"Federal University of Science & Technology, Owerri",Nov-2003,Aug-2008,,,Electrical Engineering,B.Eng,Electrical Engineering,Engineering,,4770
2227,"Federal University of Science & Technology, Owerri",Sep-2006,Oct-2011,,,Petroleum Engineering,B.Eng,Petroleum Engineering,Oil &amp; Gas,,3521
2229,"Niger Delta University, Bayelsa",Feb-2004,Aug-2010,,,Electrical/Electronic Engineering,B.Eng,,Engineering,,2055
2235,University of Port Harcourt,Sep-2004,Nov-2010,,,Chemical Engineering,B.Eng,Chemical Engineering,Oil &amp; Gas,,5545
2243,Federa University Of Science And Technology,Feb-2004,Dec-2010,,, Petroleum Engineering,B.Eng,Petroleum Engineering,Oil &amp; Gas,,5790
2244,Federa University Of Science And Technology,Feb-2004,Dec-2010,,, Petroleum Engineering,B.Eng,Petroleum Engineering,Oil &amp; Gas,,5790
2245,Federal University Of Science And Technology Owerri,Feb-2003,Aug-2009,,,Petroleum Engineering,B.Eng,Petroleum Engineering,Oil &amp; Gas,,2277
2246,Federal University Of Science And Technology Owerri,Feb-2003,Aug-2009,,,Petroleum Engineering,B.Eng,Petroleum Engineering,Oil &amp; Gas,,2277
2252,"Federal University of Science & Technology, Owerri",Mar-2005,Oct-2010,,,Mareials Engineering,B.Eng,Mareials Engineering,Engineering,,1148
2258,FEDERAL UNIVERSITY OF TECHNOLOGY AKURE,Mar-1998,Dec-2003,,,MINING ENGINEERING,B.Eng,,Oil & Gas,,3294
2264,University of Port Harcourt,Jan-2012,Jan-2017,,,Electrical and Electronics Engineering,B.Eng,,Telecoms,,1501
2265,University of Port Harcourt,Jan-2012,Jan-2017,,,Electrical & Electronics Engineering,B.Eng,,Telecoms,,1501
2278,"Federal University of Technlogy, Owerri",Jan-2005,Apr-2010,,,Civil Engineering,B.Eng,Building and Construction Engineering,Construction,,584
2284,Covenant University,Sep-2005,Jul-2010,,,Civil Engineering,B.Eng,Second Class Upper ,Site Engineering,,4043
2296,Federal University of Technology Owerri,Feb-2001,Sep-2007,,,Petroleum Engineering,B.Eng,2.2,Oil &amp; Gas,,1951
2300,University of Benin,Oct-2007,Oct-2012,,,Mechanical Engineering,B.Eng,Second Class Lower(Hons),Engineering,,899
2306,"Caritas University, Emene - Enugu State",Oct-2007,Sep-2012,,,Chemical Engineering,B.Eng,Second Class (Lower Division),Engineering,,2010
2326,Federal University of Technology Owerri,Sep-2004,Jan-2010,,,Civil Engineering,B.Eng,Second Class Upper,Construction,,240
2335,"University of Nigeria, Nsukka",Dec-2006,Jul-2011,,,Mechanical Engineering,B.Eng,second class lower,Engineering,,3683
2354,"Covenant University, Otta, Ogun-state",Sep-2007,Jun-2012,,,Mechanical Engineering,B.Eng,Second Class Lower,Engineering,,2974
2360,"Federal University of Technology, Minna",Sep-2005,Feb-2011,,,Civil Engineering,B.Eng,second class lower,Engineering,,3609
2362,"Niger Delta University, Bayelsa state",Nov-2007,Sep-2012,,,Petroleum Engineering,B.Eng,2'1,Oil &amp; Gas,,5061
2368,UNIVERSITY OF PORTHARCOURT,Aug-2006,Oct-2012,,,CHEMICAL ENGINEERING,B.Eng,SECOND CLASS LOWER,Oil &amp; Gas,,5677
2381,"Bayero University, Kano",May-2002,Jan-2009,,,Mechanical Engineering   ,B.Eng,Third Class,Engineering,,1922
2387,"Federal University of Technology, Owerri, (FUTO), Imo State.",Nov-2007,Sep-2011,,,Civil Engineering,B.Eng,Structures,Engineering,,607
2389,UNIVERSITY OF PORT HARCOURT,Jan-1998,Jan-2004,,,Petroleum Engineering,B.Eng,Second Class Lower Division,Engineering,,5329
2411,UNIVERSITY OF BENIN,Nov-2005,Dec-2010,,,Petroleum Engineering,B.Eng,Second Class Honours Upper Division,Oil &amp; Gas,,5067
2426,"Federal University of Technlogy, Owerri",Oct-2007,Aug-2012,,,Petroleum Engineering,B.Eng,Second Class upper,Finance,,5326
2427,"Federal University of Technology, Owerri",Oct-2007,Aug-2012,,,Petroleum Engineering,B.Eng,Second Class Upper,Oil &amp; Gas,,5326
2430,federal University of Technology Akure,Oct-2003,Sep-2008,,,Mining Engineering,B.Eng,2nd class,Site Engineering,,4844
2443,Nnamdi Azikiwe University  Awka,Oct-2007,Sep-2012,,,Electrical & Electronics,B.Eng,second class upper,Oil &amp; Gas,,3550
2449,"University of Nigeria, Nsukka",Oct-2001,Oct-2007,,,ELECTRONIC ENGINEERING,B.Eng,2:2,Engineering,,3631
2461,Nnamdi Azikiwe University  Awka,Jan-2001,Jul-2006,,,Mechanical and Production Engineering,B.Eng,2:2,Production,,1621
2463,"Federal University of Science & Technology, Owerri",Nov-2008,Dec-2012,,,Food Processing,B.Eng,Second Class Upper,Engineering,,4757
2464,"Federal University of Science & Technology, Owerri",Nov-2008,Dec-2012,,,Food Processing,B.Eng,Second Class Upper,Engineering,,4757
2474,Nnamdi Azikikwe University Nigeria,Sep-2007,Aug-2012,,,Civil Engineering ,B.Eng,Second Class Honours (Upper Divison),Construction,,2180
2475,Federal University of Technology Owerri ,Sep-2002,Dec-2007,,,Mechanical Engineering,B.Eng,second class upper division,Engineering,,6103
2481,University of Port Harcourt,Aug-2002,Dec-2008,,,Mechanical Engineer,B.Eng,SECOND CLASS,Production,,304
2485,University of Port Harcourt,Sep-2005,Aug-2011,,,Mechanical Engineering,B.Eng,Second class lower,Engineering,,2934
2488,University of Ilorin,Oct-2004,Jun-2008,,,Mechanical Engineering,B.Eng,Second Class Lower,Engineering,,830
2499,"Federal University of Science & Technology, Owerri",Dec-2000,Aug-2006,,,Chemical Engineering,B.Eng,2nd Class Honours,Engineering,,3772
2506,Ambrose Ali University,Aug-2003,Sep-2008,,,Mechanical Engineering,B.Eng,SECOND CLASS LOWWER.,Oil &amp; Gas,,5705
2511,University of Port Harcourt,Oct-2006,Nov-2011,,,gas engineering,B.Eng,second class lower,Oil &amp; Gas,,3999
2515,Madonna University Okija,Sep-2005,Aug-2010,,,Electrical Electronics Engineering,B.Eng,Engineering,Engineering,,591
2518,"University of Port-harcourt, Nigeria",Nov-2007,Mar-2013,,,Petroleum Engineering,B.Eng,3.04,Engineering,,3715
2521,Unversity Of Benin,Dec-2014,Dec-2015,,,Production Engineering,B.Eng,Distinction ,Production,,4211
2529,Ahmadu Bello University Zaria,Jan-2002,Dec-2007,,,Mechanical Engineering,B.Eng,2.2,Engineering,,4914
2546,"University Of Nigeria , Nsukka (UNN)",Nov-2007,Aug-2012,,,Mechanical Engineering ,B.Eng,Second Class Upper ,Engineering,,2323
2548,Nnamdi Azikiwe University  Awka,Sep-2003,Jun-2008,,,MECHANICAL/PRODUCTION ENGINEERING,B.Eng,2.2 SECOND CLASS LOWER DIVISION,Engineering,,301
2556,Nnamdi Azikikwe University Nigeria,Jan-2000,Sep-2005,,,Electrical & Electronics,B.Eng,Second Class lower,Engineering,,678
2558,"University of Port Harcourt, Port Harcourt",Feb-2006,Dec-2010,,,Electrical/electronic Engineering,B.Eng,Second Class,Engineering,,1507
2565,University Of Benin,Oct-2005,Mar-2011,,,Petroleum Engineering,B.Eng,2nd Class Lower,Finance,,2026
