State,Country,DOB,Sex,MaritalStatus,RegDate,advertmeans,yr_exp,no,Experience,Specialization,Courselevel
fct,Afghanistan,83,Male,Single,2011-12-12 00:00:00,,0,6154,5,HR,BA
Lagos,Nigeria,35,Male,Single,2011-12-12 00:00:00,,0,3286,0,HR,BA
LAGOS,Nigeria,33,Male,Single,2011-12-12 00:00:00,,0,5553,0,HR,BA
cross river state,Nigeria,33,Male,Married,2011-12-12 00:00:00,,0,936,0,HR,BA
Lagos,Nigeria,44,Male,Married,2011-12-12 00:00:00,,0,3637,0,HR,BA
Ekiti,Nigeria,33,Male,Single,2011-12-12 00:00:00,,0,894,0,HR,BA
LAGOS,Nigeria,33,Male,Single,2011-12-12 00:00:00,,0,1347,0,HR,BA
OGUN,Nigeria,32,Male,Single,2011-12-12 00:00:00,,0,5986,3,Oil & Gas,HND
Lagos,Afghanistan,83,Male,Single,2011-12-12 00:00:00,,0,3973,0,Oil & Gas,HND
FCT,Nigeria,40,Male,Married,2011-12-12 00:00:00,,0,4438,7,HR,MBA
Lagos,Nigeria,36,Female,Single,2011-12-12 00:00:00,,0,1864,0,HR,MBA
Imo,Nigeria,34,Female,Single,2011-12-12 00:00:00,,0,6180,0,HR,MBA
Rivers,Nigeria,36,Male,Single,2011-12-12 00:00:00,,0,3517,0,HR,MBA
RIVERS STATE,Nigeria,34,Female,Single,2011-12-12 00:00:00,,0,1753,0,HR,MBA
ABUJA,Nigeria,36,Female,Married,2011-12-12 00:00:00,,0,5345,0,HR,MBA
lagos,Afghanistan,83,Male,Single,2011-12-12 00:00:00,,0,200,-69,Marketing,MBA
Lagos,Nigeria,34,Female,Single,2011-12-12 00:00:00,,0,5979,0,Marketing,MBA
Lagos,Nigeria,34,Female,âˆ’âˆ’ Please Select,2011-12-12 00:00:00,,0,3117,0,Marketing,MBA
Lagos,Nigeria,34,Male,Single,2011-12-12 00:00:00,,0,3677,2,Banking,MBA
lagos,Nigeria,34,Female,Married,2011-12-12 00:00:00,,0,2883,0,Banking,MBA
Imo,Nigeria,29,Female,Married,2011-12-12 00:00:00,,0,386,0,Banking,MBA
River state,Nigeria,35,Male,Single,2011-12-12 00:00:00,,0,5475,0,Banking,MBA
Rivers State,Nigeria,40,Male,Single,2011-12-12 00:00:00,,0,5455,0,Banking,MBA
Rivers State,Nigeria,40,Male,Single,2011-12-12 00:00:00,,0,449,0,Banking,MBA
lagos,Nigeria,33,Male,Single,2011-12-12 00:00:00,,0,4407,0,Banking,MBA
rivers state,Nigeria,34,Male,Single,2011-12-12 00:00:00,,0,3281,0,Banking,MBA
Rivers State,Nigeria,32,Male,Single,2011-12-12 00:00:00,,0,2261,0,Banking,MBA
LAGOS,âˆ’âˆ’ Please Select âˆ’âˆ’,35,Male,Married,2011-12-12 00:00:00,,0,3053,0,Banking,MBA
abuja,Nigeria,37,Male,âˆ’âˆ’ Please Select,2011-12-12 00:00:00,,0,3510,0,Banking,MBA
River,Nigeria,37,Female,Single,2011-12-12 00:00:00,,0,1432,0,Banking,MBA
lagos,Nigeria,40,Female,Single,2011-12-12 00:00:00,,0,2462,0,Banking,MBA
river state,Nigeria,36,Male,Single,2011-12-12 00:00:00,,0,1660,0,Banking,MBA
Rivers State,Nigeria,83,Male,Single,2011-12-12 00:00:00,,0,2342,0,Banking,MBA
rivers state,Nigeria,33,Female,Single,2011-12-12 00:00:00,,0,6001,-2012,Management,BA
LAGOS,Nigeria,37,Male,Married,2011-12-12 00:00:00,,0,3701,-4020,Real Estate,Bsc
Rivers State,Nigeria,35,Female,Single,2011-12-12 00:00:00,,0,5009,0,Real Estate,Bsc
Rivers,Nigeria,41,Female,Married,2011-12-12 00:00:00,,0,775,0,Real Estate,Bsc
Rivers-State,Nigeria,83,Female,Single,2011-12-12 00:00:00,,0,219,0,Real Estate,Bsc
Rivers State,Nigeria,34,Female,Single,2011-12-12 00:00:00,,0,2644,0,Real Estate,Bsc
Manchester,United Kingdom,83,Female,Single,2011-12-12 00:00:00,,0,4114,0,Real Estate,Bsc
Rivers,Nigeria,35,Female,Single,2011-12-12 00:00:00,,0,3777,0,Real Estate,Bsc
RIVERS STATE,Nigeria,37,Male,Single,2011-12-12 00:00:00,,0,2731,0,Real Estate,Bsc
Lagos,Nigeria,44,Male,Married,2011-12-12 00:00:00,,0,5715,0,Real Estate,Bsc
rivers state,Nigeria,45,Male,Married,2011-12-12 00:00:00,,0,5416,0,Real Estate,Bsc
RIVERS,Nigeria,44,Female,Married,2011-12-12 00:00:00,,0,5327,0,Real Estate,Bsc
Lagos State,Nigeria,31,Male,Single,2011-12-12 00:00:00,,0,5977,-76,Finance,Bsc
lagos,Nigeria,33,Male,Single,2011-12-12 00:00:00,,0,6065,0,Finance,Bsc
FCT,Nigeria,33,Male,Single,2011-12-12 00:00:00,,0,2204,0,Finance,Bsc
Nairobi,Kenya,47,Female,Married,2011-12-12 00:00:00,,0,844,0,Finance,Bsc
Lagos,Nigeria,32,Male,Single,2011-12-12 00:00:00,,0,4426,0,Finance,Bsc
Oyo state,Nigeria,32,Male,Single,2011-12-12 00:00:00,,0,1042,1,Finance,Bsc
LAGOS,Nigeria,36,Female,Single,2011-12-12 00:00:00,,0,4330,0,Finance,Bsc
KENYA,Kenya,29,Female,Single,2011-12-12 00:00:00,,0,534,1,Banking,BA
Lagos,Nigeria,47,Male,Married,2011-12-12 00:00:00,,0,5313,0,Banking,BA
Rivers,Nigeria,83,Male,Single,2011-12-12 00:00:00,,0,370,0,Banking,HND
LAGOS,Nigeria,37,Female,Single,2011-12-12 00:00:00,,0,985,0,Banking,HND
ENUGU STATE,Nigeria,83,Male,Single,2011-12-12 00:00:00,,0,3662,0,Banking,HND
Lagos,Nigeria,33,Female,Married,2011-12-12 00:00:00,,0,1429,0,Banking,HND
Lagos,Nigeria,36,Male,Single,2011-12-12 00:00:00,,0,592,0,Banking,HND
Lagos,Nigeria,26,Male,Single,2011-12-12 00:00:00,,0,5206,0,Banking,HND
FCT,Nigeria,32,Male,Single,2011-12-12 00:00:00,,0,5605,2,HR,Bsc
Lagos,Nigeria,33,Female,Single,2011-12-12 00:00:00,,0,3184,0,HR,Bsc
Kerala,India,30,Male,Single,2011-12-12 00:00:00,,0,1211,0,HR,Bsc
Andhra Pradesh,India,34,Male,Single,2011-12-12 00:00:00,,0,1857,-2011,Marketing,Bsc
Rivers state,Nigeria,23,Female,Single,2011-12-12 00:00:00,,0,1093,0,Marketing,Bsc
lagos,Nigeria,33,Female,Single,2011-12-12 00:00:00,,0,2834,0,Marketing,Bsc
RIVERS,Nigeria,38,Female,Single,2011-12-12 00:00:00,,0,733,0,Marketing,B.Tech
Lagos,Nigeria,36,Male,Married,2011-12-12 00:00:00,,0,4997,5,HR,Bsc
Oyo,Nigeria,31,Female,Single,2011-12-12 00:00:00,,0,5261,0,HR,Bsc
Rivers State,Nigeria,36,Male,Single,2011-12-12 00:00:00,,0,361,0,HR,Bsc
Lagos,Nigeria,35,Male,Single,2011-12-12 00:00:00,,0,1596,0,HR,Bsc
Lagos,Nigeria,32,Male,Single,2011-12-12 00:00:00,,0,5719,0,HR,Bsc
OGUN STATE,Nigeria,41,Male,Married,2011-12-12 00:00:00,,0,4459,0,HR,Bsc
Rivers,Afghanistan,83,Male,Single,2011-12-12 00:00:00,,0,3747,0,HR,Bsc
lagos,Nigeria,38,Male,Single,2011-12-12 00:00:00,,0,793,0,HR,Bsc
FCT,Nigeria,30,Male,Single,2011-12-12 00:00:00,,0,723,0,HR,Bsc
oyo state,Nigeria,38,Male,Married,2011-12-12 00:00:00,,0,3613,0,HR,Bsc
lagos,Nigeria,39,Male,Married,2011-12-12 00:00:00,,0,3875,4,Construction,HND
Rivers State,Afghanistan,83,Male,Single,2011-12-12 00:00:00,,0,4242,0,Construction,HND
lagos,Nigeria,49,Male,Married,2011-12-12 00:00:00,,0,6163,0,Construction,HND
Lagos,Nigeria,34,Female,Single,2011-12-12 00:00:00,,0,2627,0,Construction,HND
ogun,Nigeria,33,Male,Married,2011-12-12 00:00:00,,0,1100,0,Construction,HND
LAGOS,Nigeria,36,Male,Single,2011-12-12 00:00:00,,0,4883,0,Construction,HND
OYO,Nigeria,39,Male,Single,2011-12-12 00:00:00,,0,1001,0,Construction,HND
lagos,Nigeria,37,Male,Single,2011-12-12 00:00:00,,0,1687,2,Banking,Msc
Rivers State,Nigeria,39,Male,Single,2011-12-12 00:00:00,,0,751,0,Banking,Msc
LAGOS STSTE,Nigeria,37,Male,Single,2011-12-12 00:00:00,,0,5519,0,Banking,Msc
Edo,Nigeria,34,Male,Single,2011-12-12 00:00:00,,0,5839,4,Food,Bsc
oyo,Nigeria,30,Male,Single,2011-12-12 00:00:00,,0,1870,0,Food,Bsc
TORINO,Italy,60,Male,Married,2011-12-12 00:00:00,,0,4146,0,Food,Bsc
TORINO,Italy,60,Male,Married,2011-12-12 00:00:00,,0,5142,0,Food,Bsc
oyo,Nigeria,38,Male,Single,2011-12-12 00:00:00,,0,623,0,Food,Bsc
Osun,Nigeria,37,Male,Single,2011-12-12 00:00:00,,0,2809,0,Food,Bsc
Algiers,Algeria,45,Male,Married,2011-12-12 00:00:00,,0,4075,0,Food,Bsc
Lagos,Nigeria,35,Male,Single,2011-12-12 00:00:00,,0,3806,0,Food,Bsc
KWARA STATE,Nigeria,31,Male,Single,2011-12-12 00:00:00,,0,1008,0,Food,Bsc
Nairobi,Kenya,35,Male,Married,2011-12-12 00:00:00,,0,3421,-2007,Finance,HND
mpumalanga,South Africa,33,Male,Single,2011-12-12 00:00:00,,0,3799,0,Marketing,HND
Greater Accra,Ghana,35,Male,Single,2011-12-12 00:00:00,,0,2862,2,Finance,HND
Matete,"Congo, The Democratic Republic of The",39,Male,Single,2011-12-12 00:00:00,,0,3399,0,Finance,HND
ghana,Ghana,32,Male,Single,2011-12-12 00:00:00,,0,2942,0,Finance,HND
nairobi,Kenya,30,Female,Married,2011-12-12 00:00:00,,0,4879,0,IT-Hardware,HND
Malawi,Malawi,29,Female,,2011-12-12 00:00:00,,0,3482,0,IT-Hardware,HND
zimbabwe,Zimbabwe,30,Male,Single,2011-12-12 00:00:00,,0,4056,-150,Construction,Bsc
RIVERS,Nigeria,35,Female,,2011-12-12 00:00:00,,0,1744,0,IT-Hardware,Bsc
harar,Ethiopia,32,Female,Single,2011-12-12 00:00:00,,0,4150,0,IT-Hardware,BA
lagos,Nigeria,32,Male,Single,2011-12-12 00:00:00,,0,4014,0,IT-Hardware,BA
Njabini,Kenya,35,Male,Single,2011-12-12 00:00:00,,0,6192,1,Education,BA
FCT,Nigeria,41,Female,Single,2011-12-12 00:00:00,,0,4488,0,Education,BA
lagos,Nigeria,42,Male,Single,2011-12-12 00:00:00,,0,438,-4016,Architecture,HND
kampala,Uganda,29,Male,Single,2011-12-12 00:00:00,,0,3338,0,Architecture,HND
NAIROBI,Kenya,30,Female,Single,2011-12-12 00:00:00,,0,442,-75,Banking,HND
LAGOS,Nigeria,35,Female,Single,2011-12-12 00:00:00,,0,2329,0,Banking,HND
ethiopia,Ethiopia,29,Female,Single,2011-12-12 00:00:00,,0,4218,0,Banking,BA
Select..,Ethiopia,41,Male,Single,2011-12-12 00:00:00,,0,759,0,Banking,BA
Oromia regional state,Ethiopia,36,Male,Married,2011-12-12 00:00:00,,0,6030,6,Medical,Msc
Toamasina,Madagascar,45,Male,Married,2011-12-12 00:00:00,,0,4730,0,Medical,Msc
zambia,Zambia,28,Male,Married,2011-12-12 00:00:00,,0,280,0,Medical,Msc
yaounde,Cameroon,33,Female,Single,2011-12-12 00:00:00,,0,3183,0,Medical,HND
ACCRA,Ghana,30,Female,Single,2011-12-12 00:00:00,,0,4354,0,Medical,Bsc
WOURI,Cameroon,32,Male,Single,2011-12-12 00:00:00,,0,1045,0,Medical,Bsc
Kinshasa,"Congo, The Democratic Republic of The",33,Male,Single,2011-12-12 00:00:00,,0,1485,0,Medical,Bsc
None - Outside US & Canada,Ethiopia,33,Male,Single,2011-12-12 00:00:00,,0,4554,0,Medical,Bsc
Uganda,Uganda,34,Male,Married,2011-12-12 00:00:00,,0,491,0,Medical,Bsc
Addis Ababa,Ethiopia,35,Female,Married,2011-12-12 00:00:00,,0,2067,9,Finance,BA
Littoral,Cameroon,39,Male,Single,2011-12-12 00:00:00,,0,1260,0,Finance,Bsc
Ondo State,Nigeria,31,Female,Single,2011-12-12 00:00:00,,0,6035,3,Media,HND
central,Uganda,28,Male,Single,2011-12-12 00:00:00,,0,2360,0,Media,HND
Hareri,Ethiopia,33,Male,Married,2011-12-12 00:00:00,,0,326,0,Media,HND
Greater_Accra,Ghana,31,Male,Single,2011-12-12 00:00:00,,0,1419,0,Media,HND
FCT,Nigeria,43,Male,Married,2011-12-12 00:00:00,,0,2446,11,Advertising,MA
Greater Accra Regiion,Ghana,48,Male,Married,2011-12-12 00:00:00,,0,4002,20,Security,MA
Rivers,Antigua and Barbuda,82,Male,Single,2011-12-12 00:00:00,,0,2053,0,Security,MA
Tigray,Ethiopia,31,Male,Single,2011-12-12 00:00:00,,0,239,4,NGO,Bsc
.,Uganda,27,Male,Single,2011-12-12 00:00:00,,0,5255,-76,Finance,Bsc
ACCRA,Ghana,34,Male,Single,2011-12-12 00:00:00,,0,2148,2,IT-Hardware,Bsc
ACCRA,Ghana,32,Female,Married,2011-12-12 00:00:00,,0,4568,-75,Finance,Bsc
Kogi,Nigeria,34,Male,Single,2011-12-12 00:00:00,,0,993,0,Finance,HND
Rivers,Nigeria,37,Female,Single,2011-12-12 00:00:00,,0,2014,0,Finance,HND
Uganda,Uganda,44,Female,Married,2011-12-12 00:00:00,,0,2252,0,Logistics,HND
Khomas,Namibia,25,Female,Single,2011-12-12 00:00:00,,0,2857,0,Logistics,HND
SOUTH-WEST,Cameroon,49,Male,Married,2011-12-12 00:00:00,,0,1072,7,Maritime,HND
delta,Nigeria,38,Female,Single,2011-12-12 00:00:00,,0,305,0,Maritime,HND
central,Uganda,34,Male,Married,2011-12-12 00:00:00,,0,6057,0,Site Engineering,HND
kenya,Kenya,39,Male,Married,2011-12-12 00:00:00,,0,2873,0,Site Engineering,HND
"Congo, the Democratic Republic of the","Congo, The Democratic Republic of The",38,Female,Single,2011-12-12 00:00:00,,0,2495,0,Site Engineering,HND
douala,Cameroon,30,Male,Single,2011-12-12 00:00:00,,0,5258,0,Site Engineering,HND
Ghana,Ghana,25,Female,,2011-12-12 00:00:00,,0,3148,0,Site Engineering,HND
LITTORALE,Benin,32,Male,Single,2011-12-12 00:00:00,,0,4449,0,Site Engineering,HND
Zinder,Niger,41,Male,Married,2011-12-12 00:00:00,,0,1965,0,Site Engineering,HND
Bataan,Philippines,60,Male,Married,2011-12-12 00:00:00,,0,3152,0,Site Engineering,HND
namibia,Namibia,32,Female,Married,2011-12-12 00:00:00,,0,748,9,Secreatry,HND
republique democratique du congo,"Congo, The Democratic Republic of The",34,Male,Single,2011-12-12 00:00:00,,0,3908,0,Secreatry,HND
zambia,Zambia,30,Male,Single,2011-12-12 00:00:00,,0,5198,0,Secreatry,HND
Ghana,Ghana,36,Male,,2011-12-12 00:00:00,,0,3334,0,Secreatry,HND
tanzania,"Tanzania, United Republic of",32,Female,Single,2011-12-12 00:00:00,,0,2167,0,Finance,Bsc
Greater Accra,Ghana,32,Male,Single,2011-12-12 00:00:00,,0,1357,2,Telecoms,BA
scotland,United Kingdom,40,Male,Single,2011-12-12 00:00:00,,0,3948,0,Telecoms,HND
uttar pradesh,India,30,Male,Single,2011-12-12 00:00:00,,0,5165,-74,Engineering,HND
NORTH WEST,Cameroon,33,Male,Single,2011-12-12 00:00:00,,0,4458,0,Engineering,HND
Center,Cameroon,31,Female,Single,2011-12-12 00:00:00,,0,1167,0,Engineering,HND
London,United Kingdom,26,Female,Single,2011-12-12 00:00:00,,0,4564,0,Engineering,HND
Rivers/Nigeria,Nigeria,46,Male,Married,2011-12-12 00:00:00,,0,565,7,Finance,HND
Soth-East,Botswana,29,Female,Single,2011-12-12 00:00:00,,0,1838,0,Finance,Bsc
Accra,Ghana,26,Male,Single,2011-12-12 00:00:00,,0,4297,0,Finance,Bsc
WESTERN REGION,Ghana,41,Male,Single,2011-12-12 00:00:00,,0,3298,0,Finance,Bsc
wales,United Kingdom,27,Female,Single,2011-12-12 00:00:00,,0,5202,0,Finance,Bsc
Addis Ababa,Ethiopia,36,Female,Single,2011-12-12 00:00:00,,0,465,0,Finance,Bsc
Gaborone,Botswana,28,Male,Single,2011-12-12 00:00:00,,0,4968,-2011,Production,HND
SOUTH EAST,Botswana,38,Male,Single,2011-12-12 00:00:00,,0,3201,0,Production,HND
South east,Botswana,33,Male,Single,2011-12-12 00:00:00,,0,6118,0,Production,HND
Botswana,Botswana,32,Male,Single,2011-12-12 00:00:00,,0,3231,0,Production,HND
Gh,Ghana,34,Male,Single,2011-12-12 00:00:00,,0,1498,5,Merchandising,HND
Oromiya,Ethiopia,35,Male,Single,2011-12-12 00:00:00,,0,2531,0,Merchandising,HND
COMMUNTIY 2 TEMA,Ghana,32,Female,Single,2011-12-12 00:00:00,,0,5684,3,Finance,BA
UGANDA,Uganda,26,Male,Single,2011-12-12 00:00:00,,0,2311,0,Finance,BA
Zambia,Zambia,36,Male,Single,2011-12-12 00:00:00,,0,2160,0,Finance,BA
zambia,Zambia,34,Male,Single,2011-12-12 00:00:00,,0,1229,0,Finance,BA
Uganda,Uganda,49,Male,Married,2011-12-12 00:00:00,,0,4212,0,Finance,BA
lagos,Nigeria,35,Female,Single,2011-12-12 00:00:00,,0,984,0,Finance,BA
lusaka,Zambia,30,Male,,2011-12-12 00:00:00,,0,3375,5,Engineering,Bsc
Rivers,Nigeria,30,Male,Single,2011-12-12 00:00:00,,0,2200,0,Engineering,Bsc
Kinshasa,"Congo, The Democratic Republic of The",36,Male,Single,2011-12-12 00:00:00,,0,390,-2004,NGO,HND
gauteng,South Africa,42,Male,Single,2011-12-12 00:00:00,,0,2698,0,NGO,HND
Central,Uganda,36,Male,Single,2011-12-12 00:00:00,,0,3997,0,NGO,Bsc
Rivers,Nigeria,34,Male,Single,2011-12-12 00:00:00,,0,2822,2,Engineering,Bsc
greater-accra,Ghana,34,Male,Single,2011-12-12 00:00:00,,0,5376,0,Engineering,HND
Kinshasa,"Congo, The Democratic Republic of The",37,Male,Married,2011-12-12 00:00:00,,0,2471,0,Engineering,Msc
Rivers,Bahamas,51,Male,Married,2011-12-12 00:00:00,,0,283,0,Engineering,Msc
GREATER ACCRA,Ghana,32,Male,Single,2011-12-12 00:00:00,,0,1970,0,Engineering,Msc
Rivers,Nigeria,29,Male,Single,2011-12-12 00:00:00,,0,3970,1,Management,Bsc
Nairobi,Kenya,44,Female,Single,2011-12-12 00:00:00,,0,4516,0,Management,Msc
Uganda,Uganda,45,Male,Married,2011-12-12 00:00:00,,0,5218,0,Management,Msc
Botswana,Botswana,30,Female,Single,2011-12-12 00:00:00,,0,512,0,Finance,Bsc
coast,Kenya,36,Male,Single,2011-12-12 00:00:00,,0,660,0,Finance,Bsc
Lagos,Nigeria,31,Female,Single,2011-12-12 00:00:00,,0,439,1,Site Engineering,Bsc
LAGOS,Nigeria,37,Female,Single,2011-12-12 00:00:00,,0,2198,0,Site Engineering,HND
Rivers State,Nigeria,35,Female,Single,2011-12-12 00:00:00,,0,6221,1,Education,BA
Rivers State,Nigeria,36,Female,Married,2011-12-12 00:00:00,,0,2564,0,Education,BA
lagos state,Nigeria,31,Male,Single,2011-12-12 00:00:00,,0,5487,0,Education,BA
Lagos,Nigeria,36,Male,,2011-12-12 00:00:00,,0,1352,1,Marketing,BA
rivers state,Nigeria,34,Male,Single,2011-12-12 00:00:00,,0,4380,-73,Oil & Gas,Bsc
Nairobi,Kuwait,37,Male,Married,2011-12-12 00:00:00,,0,4784,0,Oil & Gas,HND
Accra,Ghana,29,Female,Single,2011-12-12 00:00:00,,0,274,0,Oil & Gas,BA
lagos state,Nigeria,37,Female,Married,2011-12-12 00:00:00,,0,777,1,Real Estate,HND
CAMEROUN,Cameroon,44,Male,Single,2011-12-12 00:00:00,,0,4605,0,Real Estate,HND
littoral,Cameroon,58,Male,Married,2011-12-12 00:00:00,,0,1032,0,Real Estate,MA
Uganda,Uganda,34,Female,Married,2011-12-12 00:00:00,,0,1716,0,Real Estate,MA
Rivers state,Nigeria,32,Male,Single,2011-12-12 00:00:00,,0,2413,0,Real Estate,MA
Dakar,Senegal,25,Male,Single,2011-12-12 00:00:00,,0,196,0,Advertising,MBA
AddisAbaba,Ethiopia,27,Female,Single,2011-12-12 00:00:00,,0,2181,-75,Banking,BA
rivers,Nigeria,32,Female,Single,2011-12-12 00:00:00,,0,6086,1,Secreatry,Bsc
nairobi,Kenya,32,Female,,2011-12-12 00:00:00,,0,535,0,Secreatry,Bsc
littoral,Cameroon,41,Male,Single,2011-12-12 00:00:00,,0,3659,0,Secreatry,Bsc
Rivers,Nigeria,41,Female,Single,2011-12-12 00:00:00,,0,6196,4,Finance,Bsc
rivers state,NG,32,Male,Single,2011-12-12 00:00:00,,5,5978,9,NULL,Bsc
Littoral,Cameroon,41,Male,,2011-12-12 00:00:00,,0,5613,0,NULL,Bsc
Imo,Nigeria,33,Male,Single,2011-12-12 00:00:00,,0,4395,1,Oil & Gas,Bsc
Addis Ababa,Ethiopia,36,Male,Married,2011-12-12 00:00:00,,0,435,0,Oil & Gas,Bsc
Lagos,Nigeria,50,Male,Married,2011-12-12 00:00:00,,0,1186,0,Oil & Gas,Bsc
Lagos,Nigeria,39,Female,Married,2011-12-12 00:00:00,,0,819,3,Finance,BA
Accra,Ghana,32,Male,Single,2011-12-12 00:00:00,,0,4411,0,Finance,BA
greater accra,Ghana,37,Female,Married,2011-12-12 00:00:00,,0,5367,0,Finance,BA
uttaranchal,India,35,Male,Married,2011-12-12 00:00:00,,0,952,0,Finance,BA
tamil nadu,India,28,Male,Single,2011-12-12 00:00:00,,0,1312,0,Finance,HND
Rivers,Nigeria,35,Male,Single,2011-12-12 00:00:00,,0,4227,-76,Marketing,Bsc
lagos,Nigeria,34,Female,Single,2011-12-12 00:00:00,,0,3233,0,Marketing,Bsc
oromiya,Ethiopia,32,Male,Single,2011-12-12 00:00:00,,0,2671,0,Marketing,Bsc
Lagos,Nigeria,35,Female,Married,2011-12-12 00:00:00,,0,171,0,Marketing,MA
Kenya,Kenya,43,Male,Married,2011-12-12 00:00:00,,0,194,0,Marketing,MA
FCT,Nigeria,37,Male,Married,2011-12-12 00:00:00,,0,1524,0,Marketing,MA
Ebonyi State,Nigeria,37,Male,Single,2011-12-12 00:00:00,,0,1887,12,Marketing,MA
Ethiopia,Ethiopia,46,Female,Single,2011-12-12 00:00:00,,0,5153,5,HR,MBA
central,Kenya,28,Male,Single,2011-12-12 00:00:00,,0,3927,4,Finance,Bsc
Accra,Ghana,32,Male,Single,2011-12-12 00:00:00,,0,477,0,Finance,Bsc
Dakar,Senegal,31,Male,Single,2011-12-12 00:00:00,,0,4165,0,Finance,Msc
Rivers state,Nigeria,28,Male,Single,2011-12-12 00:00:00,,0,1875,0,Finance,Msc
GT. ACCRA,Ghana,33,Male,Single,2011-12-12 00:00:00,,0,714,0,Finance,Msc
Haile Gebresilassie Street,Ethiopia,32,Male,Single,2011-12-12 00:00:00,,0,2823,5,IT-Hardware,Bsc
Nairobi,Kenya,39,Male,Single,2011-12-12 00:00:00,,0,6100,0,IT-Hardware,Bsc
